"Longitude","Latitude"
-87.3699697,34.21640227
-87.25329254,34.199437
-87.29363634,34.12468309
-87.23171431,34.21193425
-87.23064046,34.21490769
-79.80554775,35.2352276
-80.09832824,35.35184557
-80.08683329,35.41803176
-80.06838859,35.44487471
-80.0904189,35.40559943
-80.08703189,35.41070811
-80.09768023,35.33191888
-85.23457324,34.5739671
-85.23572602,34.59234543
-83.33324372,34.63872482
-85.12742592,34.5709532
-83.38372675,34.52692251
-85.25469729,34.52250787
-85.2356989,34.58870593
-83.31237262,34.56302007
-79.48930614,33.93945832
-79.48066404,33.93684409
-83.45653697,35.27017289
-80.11451408,36.38089966
-80.5015308,36.25253715
-80.29176704,36.4233837
-79.47771156,33.9333345
-79.75709426,36.25330279
-79.54654285,36.22206029
-78.52055811,34.60025367
-81.34556167,36.46270031
-81.34518116,36.4633887
-81.74569934,35.96499797
-81.74484569,35.96728156
-81.86961089,36.03196809
-82.20669595,35.74868478
-81.89781697,35.85005452
-81.92158875,35.9207346
-81.91365185,35.91736634
-81.89248424,35.85473768
-81.90224837,35.83267729
-81.89727969,35.8473709
-81.90542667,35.85369054
-81.90316587,35.85252688
-82.89415969,35.38787716
-82.80965255,35.36320283
-82.92782535,35.37277266
-82.81430825,35.36347961
-82.81887992,35.36389598
-82.81601229,35.36319427
-82.93812314,35.37472169
-82.81407628,35.35622634
-82.8242932,35.35756741
-82.84979716,35.4025428
-83.9257375,35.36402891
-82.86070336,35.40314801
-82.818198,35.37274901
-82.81889213,35.37526768
-83.92647667,35.36290683
-83.92930528,35.3663435
-83.94655524,35.3714865
-83.95692019,35.37028431
-83.93336512,35.36472075
-83.93286333,35.36413806
-83.94342337,35.37187575
-83.93001004,35.367804
-83.96858321,35.46126375
-83.94821876,35.36111119
-83.97735496,35.4411545
-83.97462017,35.45454773
-84.00159881,35.41798459
-83.86208999,35.58918158
-83.83421583,35.54570582
-83.49924116,35.59870085
-83.86830098,35.58686807
-83.92022369,35.60423184
-82.39990156,36.07534593
-82.40367554,36.07743599
-82.43332639,36.09795268
-82.43673481,36.09726657
-83.19749166,35.10759043
-83.2413195,35.08269926
-83.03968398,35.29251527
-83.8339429,35.5250334
-83.80249431,35.54085499
-83.8061608,35.54138785
-83.24862054,35.03204953
-83.1113079,35.38241421
-83.10937085,35.38559309
-83.12328647,35.38318081
-83.12520648,35.39012641
-83.10196479,35.39801727
-83.11115547,35.38476545
-83.11266072,35.38085545
-83.1079298,35.38410158
-83.11240974,35.38420288
-83.10731205,35.38638322
-83.88969946,35.58858132
-83.92711173,35.56390235
-83.92353635,35.57147934
-83.93793249,35.53527826
-82.3515885,35.76517107
-83.87425205,35.62478619
-83.87162858,35.55651041
-82.4236969,35.67064676
-83.86431144,35.58453561
-83.84652975,35.61068849
-83.52303607,35.33233908
-82.38047861,36.07020894
-82.72313715,35.38281911
-82.62034229,35.12277351
-83.56615566,35.22942586
-81.93111623,35.94357578
-83.56455402,35.22585595
-83.57895488,35.17640756
-83.63675907,35.18898901
-83.63753324,35.18820823
-83.60998734,35.19464714
-83.99092296,35.45162941
-83.95132047,35.37806682
-83.98930964,35.44831301
-83.99888524,35.43944572
-84.01352831,35.42381731
-84.01965917,35.42988169
-83.97138823,35.37536172
-83.95686444,35.37407145
-84.02013825,35.42856599
-83.98931241,35.4553067
-83.98526298,35.44836731
-83.95922126,35.38117107
-83.95718201,35.36745112
-83.9602417,35.38073019
-83.99967152,35.4518233
-83.02557277,35.08705807
-82.77245305,35.39269139
-82.7699275,35.39216583
-82.2195285,35.79547518
-83.03562973,35.42836379
-83.47927976,35.05681039
-82.3038056,35.78461506
-82.41337646,35.6793728
-82.17770005,35.83712628
-82.18416751,35.82808832
-82.17801167,35.8382159
-82.18589161,35.81602268
-81.92128089,35.92051059
-82.20877811,35.75497385
-81.91427463,35.85168649
-81.92127881,35.92609676
-81.91597961,35.85884218
-82.1297697,36.3061248
-81.88630014,36.49805521
-83.81228139,35.50355723
-83.76697661,35.53084264
-81.15244369,36.42785216
-83.85668141,35.59689612
-83.81823094,35.52129883
-83.85830865,35.59702584
-83.77337149,35.53241876
-83.79963156,35.52972051
-81.48903162,36.45978816
-81.48579467,36.46172402
-81.46496252,36.40738159
-81.55030828,36.39947465
-81.55253804,36.39753686
-81.82376297,36.00458318
-82.17110573,35.76188011
-82.16730241,35.75762689
-83.4009791,35.74555706
-83.44334169,35.73026691
-83.38430108,35.71625285
-83.80455164,35.54037022
-83.80258019,35.5476689
-83.38643752,35.70655141
-83.03920976,35.29256211
-83.5122952,34.85005086
-83.61105393,35.34232315
-83.61178164,35.34079054
-83.57902521,35.03325262
-83.5920344,35.32884079
-83.57839782,35.031547
-83.47793732,35.02142075
-83.30002549,35.08356707
-83.50821986,35.07220368
-83.52246778,35.09276566
-83.6175023,35.0671325
-83.41717801,35.03286659
-83.61620936,35.06801159
-83.65910895,35.27970967
-83.41461078,35.03379558
-83.43923226,35.02198828
-83.5363041,35.07334711
-83.55018655,35.04014921
-83.479134,35.01140151
-81.73700162,35.63057963
-81.60786691,35.59554699
-81.73116121,35.54769434
-81.78477707,35.55704307
-81.74704938,35.96462775
-81.74259572,35.63668636
-82.10181587,35.74518627
-81.84201106,35.91455074
-81.74561587,35.96286021
-94.31275306,31.34934658
-94.27980177,31.35477722
-79.80887809,33.12907391
-83.8564866,35.58538922
-83.85669328,35.5825127
-83.8480663,35.6162035
-83.85580598,35.58619547
-82.39925798,36.07892749
-82.43456744,36.09844204
-82.43199135,36.10000194
-83.51673573,35.32354223
-83.4561467,35.26922316
-83.48724755,35.28568982
-81.82001611,36.01855262
-83.19882978,35.09809964
-83.51861991,35.32026036
-83.1992723,35.1015494
-83.20126706,35.10109976
-83.52268959,35.31250096
-83.45841609,35.26815451
-83.52031313,35.3232711
-83.19959202,35.10152255
-83.19936368,35.09825426
-83.17701104,35.07547959
-83.17220389,35.08178939
-83.1752804,35.08193725
-83.1750684,35.0797865
-83.17479757,35.08147774
-83.17725957,35.07371043
-83.17695304,35.07871748
-83.1753395,35.07656232
-83.1785535,35.07114504
-78.91385898,35.76295761
-78.92975679,35.47332374
-78.91824777,35.76345492
-79.44101253,35.37664458
-78.91939828,35.76654917
-83.31318863,34.9165286
-83.3319044,34.9133622
-83.13042011,34.94729036
-83.31316003,34.86945727
-83.21414385,34.88159268
-83.20941182,34.94853436
-83.34975381,34.78485666
-83.17185597,34.90664801
-83.30847299,34.91015237
-83.25819288,34.88760868
